t,x,y,z
5070,-5029.163,-4374.575,-1549.510
5100,-4964.575,-4505.141,-1372.811
5130,-4894.424,-4630.658,-1194.570
5160,-4818.787,-4750.986,-1014.987
5190,-4737.748,-4865.987,-834.262
5220,-4651.397,-4975.533,-652.599
5250,-4559.831,-5079.501,-470.203
5280,-4463.152,-5177.772,-287.278
5310,-4361.466,-5270.236,-104.029
5340,-4254.889,-5356.788,79.336
5370,-4143.539,-5437.332,262.612
5400,-4027.540,-5511.775,445.593
5430,-3907.022,-5580.034,628.072
5460,-3782.121,-5642.033,809.844
5490,-3652.975,-5697.700,990.706
5520,-3519.731,-5746.974,1170.452
5550,-3382.536,-5789.797,1348.881
5580,-3241.545,-5826.124,1525.792
5610,-3096.916,-5855.911,1700.986
5640,-2948.811,-5879.126,1874.265
5670,-2797.396,-5895.742,2045.435
5700,-2642.842,-5905.741,2214.303
5730,-2485.321,-5909.112,2380.678
5760,-2325.011,-5905.850,2544.373
5790,-2162.091,-5895.960,2705.205
5820,-1996.745,-5879.453,2862.992
5850,-1829.158,-5856.346,3017.557
5880,-1659.517,-5826.668,3168.726
5910,-1488.015,-5790.450,3316.328
5940,-1314.842,-5747.734,3460.198
5970,-1140.195,-5698.568,3600.175
6000,-964.267,-5643.008,3736.100
6030,-787.258,-5581.116,3867.821
6060,-609.365,-5512.961,3995.190
6090,-430.789,-5438.622,4118.064
6120,-251.730,-5358.181,4236.305
6150,-72.388,-5271.729,4349.780
6180,107.036,-5179.364,4458.362
6210,286.339,-5081.189,4561.929
6240,465.320,-4977.315,4660.365
6270,643.780,-4867.858,4753.559
6300,821.518,-4752.942,4841.407
6330,998.335,-4632.696,4923.810
6360,1174.032,-4507.256,5000.676
6390,1348.413,-4376.761,5071.919
6420,1521.282,-4241.358,5137.459
6450,1692.445,-4101.200,5197.223
6480,1861.710,-3956.444,5251.143
6510,2028.889,-3807.253,5299.159
6540,2193.793,-3653.793,5341.218
6570,2356.237,-3496.238,5377.273
6600,2516.040,-3334.763,5407.282
6630,2673.023,-3169.549,5431.212
6660,2827.009,-3000.783,5449.038
6690,2977.827,-2828.654,5460.738
6720,3125.306,-2653.353,5466.299
6750,3269.282,-2475.078,5465.716
6780,3409.594,-2294.029,5458.989
6810,3546.084,-2110.409,5446.126
6840,3678.598,-1924.423,5427.140
6870,3806.990,-1736.279,5402.054
6900,3931.113,-1546.189,5370.895
6930,4050.830,-1354.366,5333.698
6960,4166.006,-1161.025,5290.505
6990,4276.511,-966.382,5241.364
7020,4382.222,-770.656,5186.330
7050,4483.020,-574.066,5125.466
7080,4578.791,-376.831,5058.838
7110,4669.428,-179.175,4986.522
7140,4754.830,18.683,4908.598
7170,4834.899,216.519,4825.155
7200,4909.547,414.113,4736.285
7230,4978.688,611.243,4642.089
7260,5042.245,807.686,4542.671
7290,5100.147,1003.224,4438.144
7320,5152.329,1197.637,4328.625
7350,5198.730,1390.706,4214.236
7380,5239.300,1582.215,4095.106
7410,5273.991,1771.949,3971.369
7440,5302.766,1959.695,3843.164
7470,5325.591,2145.242,3710.634
7500,5342.440,2328.382,3573.929
7530,5353.294,2508.910,3433.203
7560,5358.141,2686.622,3288.613
7590,5356.976,2861.319,3140.322
7620,5349.798,3032.805,2988.497
7650,5336.616,3200.887,2833.308
7680,5317.445,3365.377,2674.931
7710,5292.306,3526.090,2513.542
7740,5261.227,3682.845,2349.325
7770,5224.243,3835.467,2182.464
7800,5181.396,3983.784,2013.146
7830,5132.733,4127.630,1841.562
7860,5078.309,4266.843,1667.906
7890,5018.186,4401.267,1492.372
7920,4952.431,4530.751,1315.159
7950,4881.118,4655.151,1136.465
7980,4804.328,4774.327,956.493
8010,4722.146,4888.146,775.444
8040,4634.666,4996.479,593.523
8070,4541.985,5099.206,410.934
8100,4444.209,5196.213,227.883
8130,4341.447,5287.390,44.575
8160,4233.815,5372.636,-138.783
8190,4121.434,5451.855,-321.985
8220,4004.431,5524.961,-504.825
8250,3882.938,5591.871,-687.097
8280,3757.091,5652.511,-868.596
8310,3627.031,5706.814,-1049.119
8340,3492.907,5754.721,-1228.463
8370,3354.867,5796.177,-1406.426
8400,3213.068,5831.139,-1582.808
8430,3067.669,5859.566,-1757.412
8460,2918.834,5881.430,-1930.042
8490,2766.729,5896.707,-2100.504
8520,2611.526,5905.379,-2268.607
8550,2453.399,5907.440,-2434.163
8580,2292.525,5902.888,-2596.986
8610,2129.086,5891.728,-2756.894
8640,1963.263,5873.976,-2913.709
8670,1795.245,5849.652,-3067.254
8700,1625.218,5818.784,-3217.359
8730,1453.374,5781.408,-3363.855
8760,1279.904,5737.568,-3506.579
8790,1105.004,5687.314,-3645.372
8820,928.868,5630.702,-3780.079
8850,751.694,5567.798,-3910.549
8880,573.681,5498.673,-4036.638
8910,395.026,5423.405,-4158.204
8940,215.931,5342.080,-4275.114
8970,36.594,5254.789,-4387.235
9000,-142.783,5161.632,-4494.445
9030,-322.002,5062.712,-4596.623
9060,-500.860,4958.142,-4693.656
9090,-679.160,4848.039,-4785.436
9120,-856.703,4732.526,-4871.862
9150,-1033.289,4611.733,-4952.837
9180,-1208.723,4485.797,-5028.272
9210,-1382.808,4354.857,-5098.083
9240,-1555.352,4219.061,-5162.193
9270,-1726.161,4078.561,-5220.530
9300,-1895.046,3933.513,-5273.030
9330,-2061.818,3784.080,-5319.635
9360,-2226.292,3630.429,-5360.293
9390,-2388.284,3472.731,-5394.959
9420,-2547.614,3311.162,-5423.596
9450,-2704.105,3145.903,-5446.170
9480,-2857.582,2977.138,-5462.658
9510,-3007.874,2805.055,-5473.040
9540,-3154.815,2629.846,-5477.306
9570,-3298.239,2451.707,-5475.450
9600,-3437.989,2270.835,-5467.476
9630,-3573.906,2087.432,-5453.391
9660,-3705.841,1901.703,-5433.211
9690,-3833.645,1713.855,-5406.958
9720,-3957.177,1524.096,-5374.663
9750,-4076.298,1332.639,-5336.359
9780,-4190.875,1139.696,-5292.090
9810,-4300.780,945.483,-5241.905
9840,-4405.890,750.215,-5185.859
9870,-4506.087,554.111,-5124.014
9900,-4601.260,357.389,-5056.440
9930,-4691.300,160.269,-4983.210
9960,-4776.109,-37.031,-4904.406
9990,-4855.589,-234.288,-4820.115
10020,-4929.651,-431.285,-4730.431
10050,-4998.213,-627.800,-4635.454
10080,-5061.196,-823.615,-4535.288
10110,-5118.530,-1018.510,-4430.046
10140,-5170.149,-1212.268,-4319.844
10170,-5215.995,-1404.672,-4204.804
10200,-5256.016,-1595.508,-4085.055
10230,-5290.166,-1784.561,-3960.730
10260,-5318.405,-1971.621,-3831.968
10290,-5340.701,-2156.477,-3698.911
10320,-5357.027,-2338.923,-3561.708
10350,-5367.365,-2518.755,-3420.513
10380,-5371.702,-2695.770,-3275.482
10410,-5370.032,-2869.771,-3126.778
10440,-5362.355,-3040.561,-2974.566
10470,-5348.678,-3207.950,-2819.017
10500,-5329.017,-3371.749,-2660.305
10530,-5303.391,-3531.775,-2498.607
10560,-5271.829,-3687.847,-2334.105
10590,-5234.365,-3839.790,-2166.981
10620,-5191.039,-3987.433,-1997.425
10650,-5141.899,-4130.611,-1825.625
10680,-5086.999,-4269.161,-1651.774
10710,-5026.400,-4402.929,-1476.067
10740,-4960.169,-4531.762,-1298.701
10770,-4888.378,-4655.517,-1119.876
10800,-4811.108,-4774.054,-939.792
10830,-4728.445,-4887.238,-758.652
10860,-4640.480,-4994.943,-576.659
10890,-4547.312,-5097.047,-394.017
10920,-4449.044,-5193.435,-210.932
10950,-4345.785,-5283.998,-27.610
10980,-4237.652,-5368.633,155.744
11010,-4124.766,-5447.246,338.922
11040,-4007.251,-5519.748,521.718
11070,-3885.240,-5586.056,703.928
11100,-3758.870,-5646.097,885.346
11130,-3628.282,-5699.802,1065.767
11160,-3493.622,-5747.110,1244.989
11190,-3355.041,-5787.969,1422.810
11220,-3212.695,-5822.331,1599.030
11250,-3066.743,-5850.159,1773.449
11280,-2917.349,-5871.421,1945.873
11310,-2764.681,-5886.093,2116.106
11340,-2608.909,-5894.159,2283.958
11370,-2450.210,-5895.609,2449.239
11400,-2288.760,-5890.442,2611.763
11430,-2124.742,-5878.664,2771.348
11460,-1958.339,-5860.288,2927.813
11490,-1789.738,-5835.334,3080.983
11520,-1619.128,-5803.832,3230.686
11550,-1446.701,-5765.817,3376.753
11580,-1272.651,-5721.331,3519.020
11610,-1097.173,-5670.425,3657.326
11640,-920.463,-5613.156,3791.517
11670,-742.721,-5549.589,3921.442
11700,-564.146,-5479.795,4046.955
11730,-384.937,-5403.854,4167.914
11760,-205.297,-5321.850,4284.185
11790,-25.426,-5233.876,4395.636
11820,154.473,-5140.031,4502.142
11850,334.199,-5040.420,4603.584
11880,513.550,-4935.157,4699.848
11910,692.325,-4824.358,4790.826
11940,870.323,-4708.149,4876.416
11970,1047.346,-4586.660,4956.522
12000,1223.194,-4460.028,5031.054
12030,1397.671,-4328.395,5099.930
12060,1570.580,-4191.909,5163.070
12090,1741.728,-4050.723,5220.406
12120,1910.924,-3904.996,5271.872
12150,2077.977,-3754.890,5317.411
12180,2242.701,-3600.576,5356.973
12210,2404.911,-3442.225,5390.511
12240,2564.425,-3280.015,5417.991
12270,2721.064,-3114.128,5439.379
12300,2874.653,-2944.751,5454.653
12330,3025.019,-2772.072,5463.795
12360,3171.995,-2596.287,5466.796
12390,3315.415,-2417.591,5463.651
12420,3455.119,-2236.185,5454.365
12450,3590.950,-2052.273,5438.947
12480,3722.755,-1866.060,5417.415
12510,3850.388,-1677.755,5389.793
12540,3973.704,-1487.569,5356.113
12570,4092.566,-1295.716,5316.411
12600,4206.839,-1102.410,5270.732
12630,4316.396,-907.869,5219.127
12660,4421.114,-712.309,5161.655
12690,4520.876,-515.951,5098.379
12720,4615.568,-319.015,5029.370
12750,4705.085,-121.720,4954.706
12780,4789.325,75.710,4874.471
12810,4868.196,273.056,4788.753
12840,4941.606,470.096,4697.651
12870,5009.474,666.609,4601.264
12900,5071.724,862.373,4499.702
12930,5128.285,1057.171,4393.079
12960,5179.094,1250.783,4281.514
12990,5224.093,1442.991,4165.133
13020,5263.231,1633.581,4044.066
13050,5296.464,1822.338,3918.449
13080,5323.755,2009.051,3788.423
13110,5345.072,2193.509,3654.134
13140,5360.391,2375.506,3515.733
13170,5369.696,2554.838,3373.376
13200,5372.975,2731.302,3227.223
13230,5370.224,2904.701,3077.438
13260,5361.446,3074.840,2924.189
13290,5346.651,3241.529,2767.650
13320,5325.855,3404.579,2607.995
13350,5299.082,3563.808,2445.405
13380,5266.361,3719.038,2280.062
13410,5227.730,3870.093,2112.154
13440,5183.231,4016.804,1941.868
13470,5132.914,4159.007,1769.396
13500,5076.837,4296.542,1594.933
13530,5015.062,4429.256,1418.675
13560,4947.658,4556.998,1240.820
13590,4874.702,4679.626,1061.568
13620,4796.276,4797.003,881.122
13650,4712.467,4908.996,699.685
13680,4623.371,5015.482,517.460
13710,4529.087,5116.340,334.653
13740,4429.723,5211.458,151.469
13770,4325.389,5300.730,-31.885
13800,4216.203,5384.057,-215.203
13830,4102.288,5461.344,-398.279
13860,3983.773,5532.507,-580.907
13890,3860.791,5597.466,-762.882
13920,3733.480,5656.149,-943.999
13950,3601.984,5708.492,-1124.055
13980,3466.451,5754.436,-1302.848
14010,3327.032,5793.931,-1480.176
14040,3183.886,5826.934,-1655.841
14070,3037.172,5853.408,-1829.646
14100,2887.057,5873.326,-2001.395
14130,2733.707,5886.666,-2170.897
14160,2577.297,5893.414,-2337.960
14190,2418.001,5893.563,-2502.399
14220,2255.999,5887.116,-2664.029
14250,2091.472,5874.080,-2822.669
14280,1924.604,5854.471,-2978.141
14310,1755.583,5828.312,-3130.273
14340,1584.599,5795.634,-3278.893
14370,1411.843,5756.475,-3423.836
14400,1237.508,5710.880,-3564.940
14430,1061.789,5658.900,-3702.047
14460,884.884,5600.596,-3835.005
14490,706.990,5536.033,-3963.666
14520,528.306,5465.286,-4087.886
14550,349.032,5388.433,-4207.527
14580,169.368,5305.563,-4322.455
